basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mc_rmse,mae,rmse_ratio_vs_mc,effective_mc_multiplier
spd,input_concept_comp,128,12,12,0.0059,0.004609445251981058,0.007975749014228196,0.0031202540333524977,0.5779325858622331,2.993957530827951
spd,output_active,128,12,12,0.0059,0.005044340664486817,0.007975749014228196,0.003473394210122141,0.6324598047767118,2.499966221342677
spd,random_comp,128,12,12,0.0059,0.005289743246622023,0.007975749014228196,0.0036811922946787187,0.6632283986350974,2.273389093720315
spd,pca_comp,128,12,12,0.0059,0.00543073905871381,0.007975749014228196,0.0033148679426724553,0.6809064639604054,2.156875542858303
spd,embedding_comp,128,12,12,0.0059,0.00680442451328847,0.007975749014228196,0.003200531642330295,0.8531392476305156,1.3739159229203224
spd,ase_output,128,12,12,0.0059,0.007723315800398024,0.007975749014228196,0.005887910917938367,0.9683499050208515,1.0664374098630396
spd,random_stratified,128,12,12,0.0059,0.0077446341113478895,0.007975749014228196,0.005636793271892531,0.9710227964209991,1.0605744204275414
spd,mc,128,12,12,0.0059,0.007975749014228196,0.007975749014228196,0.005380092592592578,1.0,1.0
spd,output_comp,128,12,12,0.0059,0.008306983284375853,0.007975749014228196,0.004089463571420445,1.0415301772356123,0.9218415617032018
spd,embedding_ase,128,12,12,0.0059,0.009973759208680944,0.007975749014228196,0.00727740475680708,1.2505106656300786,0.6394773986660478
spd,per_query_rf,256,12,12,0.0059,0.0023738626821954625,0.004697319575876935,0.0016874284123614997,0.5053653778181123,3.91551623592983
spd,pca_comp,256,12,12,0.0059,0.002504713816822396,0.004697319575876935,0.0018995746258585594,0.533221931436248,3.5170941376451537
spd,input_concept_comp,256,12,12,0.0059,0.0027895881168105837,0.004697319575876935,0.0021313011138876007,0.5938680713010249,2.8354372921290185
spd,internal,256,12,12,0.0059,0.002797135161953614,0.004697319575876935,0.0019857607722957764,0.5954747418758327,2.820157155067746
spd,output_comp,256,12,12,0.0059,0.003536959256316989,0.004697319575876935,0.002390859964934163,0.7529739459246139,1.7637624875851334
spd,output_active,256,12,12,0.0059,0.004120723685387037,0.004697319575876935,0.0027392345358867053,0.8772500186167865,1.299431013318583
spd,random_comp,256,12,12,0.0059,0.004477009222650371,0.004697319575876935,0.0030366002895000506,0.9530987088130075,1.1008400911274694
spd,random_stratified,256,12,12,0.0059,0.004581685404882786,0.004697319575876935,0.003314223764303239,0.9753829457148312,1.0511136703526214
spd,mc,256,12,12,0.0059,0.004697319575876935,0.004697319575876935,0.0035976851851851643,1.0,1.0
spd,embedding_ase,256,12,12,0.0059,0.004785047258329956,0.004697319575876935,0.0037576772644262965,1.0186761153964372,0.9636686993083533
spd,ase_output,256,12,12,0.0059,0.004966130462381678,0.004697319575876935,0.0037909312141887145,1.057226442051169,0.8946722493056379
