basis_kind,method,budget,cells,model_queries,mean_reference_rate,rmse,mae,mc_rmse,rmse_ratio_vs_mc,effective_mc_multiplier
sklearn_sdl,output_active,256,36,12,0.0059,0.004198287554065558,0.0028837806095050704,0.003997025803991985,1.050352877350095,0.9064201282097469
sklearn_sdl,ase_output,256,36,12,0.0059,0.004947163060036311,0.0035100972377900513,0.003997025803991985,1.2377110638353614,0.6527719042413366
sklearn_sdl,random_comp,256,36,12,0.0059,0.005141290100788529,0.003221599507900333,0.003997025803991985,1.286278936616752,0.604407276409275
sklearn_sdl,embedding_ase,256,36,12,0.0059,0.0057336684265240235,0.004450663310539406,0.003997025803991985,1.4344837155661057,0.48596921108578467
sklearn_sdl,embedding_comp,256,36,12,0.0059,0.00637674483273445,0.003598467233143022,0.003997025803991985,1.5953724457734915,0.39289438857071707
sklearn_sdl,per_query_rf,512,36,12,0.0059,0.001628293969274297,0.001243673910581904,0.0024398884865548497,0.6673640939932737,2.245299742528739
sklearn_sdl,pca_comp,512,36,12,0.0059,0.0021071954981970076,0.001513400408799701,0.0024398884865548497,0.8636441828423035,1.3406959446641946
sklearn_sdl,embedding_comp,512,36,12,0.0059,0.002156718667539641,0.0014625646233043198,0.0024398884865548497,0.8839414913527266,1.279831987531177
sklearn_sdl,internal,512,36,12,0.0059,0.002213472106760115,0.0017467230527793613,0.0024398884865548497,0.9072021606551218,1.2150435608167958
sklearn_sdl,random_comp,512,36,12,0.0059,0.0024096772099560185,0.0018885261460892444,0.0024398884865548497,0.9876177633669275,1.0252321456924267
sklearn_sdl,mc,512,36,12,0.0059,0.0024398884865548497,0.001885329861111111,0.0024398884865548497,1.0,1.0
sklearn_sdl,input_concept_comp,512,36,12,0.0059,0.0025355860840785903,0.0018562618516652987,0.0024398884865548497,1.0392221193923772,0.9259408323435536
sklearn_sdl,output_comp,512,36,12,0.0059,0.002749550780952154,0.001962286869679838,0.0024398884865548497,1.1269165767631253,0.7874381745677032
sklearn_sdl,output_active,512,36,12,0.0059,0.0029729966913862827,0.0016200792198247849,0.0024398884865548497,1.2184969549916553,0.6735209414164165
sklearn_sdl,embedding_ase,512,36,12,0.0059,0.0034215682741924034,0.0027624688852787246,0.0024398884865548497,1.402346169936519,0.5084983342608186
sklearn_sdl,random_stratified,512,36,12,0.0059,0.004135757274288342,0.003200134443159925,0.0024398884865548497,1.6950599574852205,0.34804056959419294
sklearn_sdl,ase_output,512,36,12,0.0059,0.007121194760058893,0.0034737661632872055,0.0024398884865548497,2.9186558317319253,0.11739084482352045
sklearn_sdl,per_query_rf,1024,36,12,0.0059,0.0013246671116333077,0.000969827020966617,0.002065754367088021,0.6412510280690426,2.431889576184567
sklearn_sdl,pca_comp,1024,36,12,0.0059,0.0013930794256064123,0.0010503903847477853,0.002065754367088021,0.6743683798041095,2.198900625120367
sklearn_sdl,output_comp,1024,36,12,0.0059,0.0016939646676105797,0.0012481986747078302,0.002065754367088021,0.8200223098153085,1.4871290720358679
sklearn_sdl,internal,1024,36,12,0.0059,0.0017169519223382199,0.0012995101838256717,0.002065754367088021,0.8311500871996275,1.4475750543973314
sklearn_sdl,input_concept_comp,1024,36,12,0.0059,0.0017629729122673977,0.0012418133965510696,0.002065754367088021,0.8534281424526589,1.3729859090245282
sklearn_sdl,random_comp,1024,36,12,0.0059,0.0017809170941056433,0.0013514265885336116,0.002065754367088021,0.8621146456130228,1.3454574075762564
sklearn_sdl,output_active,1024,36,12,0.0059,0.0018810646500123738,0.0013517100608681065,0.002065754367088021,0.9105945411428591,1.2060072402148228
sklearn_sdl,embedding_comp,1024,36,12,0.0059,0.0019808348161279247,0.0013472570744305695,0.002065754367088021,0.9588917480640243,1.0875790608534546
sklearn_sdl,mc,1024,36,12,0.0059,0.002065754367088021,0.0016496961805555555,0.002065754367088021,1.0,1.0
sklearn_sdl,random_stratified,1024,36,12,0.0059,0.002406361131275801,0.0017412440514778917,0.002065754367088021,1.1648825095637652,0.7369461444020587
sklearn_sdl,embedding_ase,1024,36,12,0.0059,0.0024755307462094706,0.0018977012764400157,0.002065754367088021,1.1983664590766852,0.6963389844418749
sklearn_sdl,ase_output,1024,36,12,0.0059,0.003940693787495273,0.001924274180615094,0.002065754367088021,1.9076294114533328,0.27479699587741596
sklearn_sdl,internal,2048,36,12,0.0059,0.0011988749473359098,0.0007887638561411294,0.0014737677820549533,0.8134761540683528,1.5111596421651154
sklearn_sdl,per_query_rf,2048,36,12,0.0059,0.0012575301582942219,0.0008728782231920198,0.0014737677820549533,0.8532756473620154,1.3734767054527066
sklearn_sdl,output_active,2048,36,12,0.0059,0.0012842935069028046,0.0009023744073991271,0.0014737677820549533,0.8714354612312433,1.3168294863949814
sklearn_sdl,output_comp,2048,36,12,0.0059,0.001286948866919935,0.0009747530670637225,0.0014737677820549533,0.8732372104955866,1.311401067078655
sklearn_sdl,input_concept_comp,2048,36,12,0.0059,0.0013298528079163363,0.001003394823707575,0.0014737677820549533,0.9023489481240059,1.22814874048768
